time,mean_price,sigma_simple_r,sigma_ln_r,sigma_daily_7
2023-06-01,,,,
2023-06-02,,,,
2023-06-03,,,,
2023-06-04,,,,
2023-06-05,,,,
2023-06-06,,,,
2023-06-07,,,,
2023-06-08,,,,
2023-06-09,,,,
2023-06-10,,,,
2023-06-11,,,,
2023-06-12,,,,
2023-06-13,,,,
2023-06-14,,,,
2023-06-15,,,,
2023-06-16,,,,
2023-06-17,,,,
2023-06-18,,,,
2023-06-19,,,,
2023-06-20,,,,
2023-06-21,,,,
2023-06-22,,,,
2023-06-23,,,,
2023-06-24,,,,
2023-06-25,,,,
2023-06-26,,,,
2023-06-27,,,,
2023-06-28,,,,
2023-06-29,,,,
2023-06-30,,,,
2023-07-01,,,,
2023-07-02,,,,
2023-07-03,,,,
2023-07-04,,,,
2023-07-05,,,,
2023-07-06,,,,
2023-07-07,,,,
2023-07-08,,,,
2023-07-09,,,,
2023-07-10,,,,
2023-07-11,,,,
2023-07-12,,,,
2023-07-13,,,,
2023-07-14,,,,
2023-07-15,,,,
2023-07-16,,,,
2023-07-17,,,,
2023-07-18,,,,
2023-07-19,,,,
2023-07-20,,,,
2023-07-21,,,,
2023-07-22,,,,
2023-07-23,,,,
2023-07-24,,,,
2023-07-25,,,,
2023-07-26,,,,
2023-07-27,,,,
2023-07-28,,,,
2023-07-29,,,,
2023-07-30,,,,
2023-07-31,,,,
2023-08-01,,,,
2023-08-02,,,,
2023-08-03,,,,
2023-08-04,,,,
2023-08-05,,,,
2023-08-06,,,,
2023-08-07,,,,
2023-08-08,,,,
2023-08-09,,,,
2023-08-10,,,,
2023-08-11,,,,
2023-08-12,,,,
2023-08-13,,,,
2023-08-14,,,,
2023-08-15,,,,
2023-08-16,,,,
2023-08-17,,,,
2023-08-18,,,,
2023-08-19,,,,
2023-08-20,,,,
2023-08-21,,,,
2023-08-22,,,,
2023-08-23,,,,
2023-08-24,,,,
2023-08-25,,,,
2023-08-26,,,,
2023-08-27,,,,
2023-08-28,,,,
2023-08-29,,,,
2023-08-30,,,,
2023-08-31,,,,
2023-09-01,,,,
2023-09-02,,,,
2023-09-03,,,,
2023-09-04,,,,
2023-09-05,,,,
2023-09-06,,,,
2023-09-07,,,,
2023-09-08,,,,
2023-09-09,,,,
2023-09-10,,,,
2023-09-11,,,,
2023-09-12,,,,
2023-09-13,,,,
2023-09-14,,,,
2023-09-15,,,,
2023-09-16,,,,
2023-09-17,,,,
2023-09-18,,,,
2023-09-19,,,,
2023-09-20,,,,
2023-09-21,,,,
2023-09-22,,,,
2023-09-23,,,,
2023-09-24,,,,
2023-09-25,,,,
2023-09-26,,,,
2023-09-27,,,,
2023-09-28,,,,
2023-09-29,,,,
2023-09-30,,,,
2023-10-01,,,,
2023-10-02,,,,
2023-10-03,,,,
2023-10-04,,,,
2023-10-05,,,,
2023-10-06,,,,
2023-10-07,,,,
2023-10-08,,,,
2023-10-09,,,,
2023-10-10,,,,
2023-10-11,,,,
2023-10-12,,,,
2023-10-13,,,,
2023-10-14,,,,
2023-10-15,,,,
2023-10-16,,,,
2023-10-17,,,,
2023-10-18,,,,
2023-10-19,,,,
2023-10-20,,,,
2023-10-21,,,,
2023-10-22,,,,
2023-10-23,,,,
2023-10-24,,,,
2023-10-25,,,,
2023-10-26,,,,
2023-10-27,,,,
2023-10-28,,,,
2023-10-29,,,,
2023-10-30,,,,
2023-10-31,,,,
2023-11-01,,,,
2023-11-02,,,,
2023-11-03,,,,
2023-11-04,,,,
2023-11-05,,,,
2023-11-06,,,,
2023-11-07,,,,
2023-11-08,,,,
2023-11-09,,,,
2023-11-10,,,,
2023-11-11,,,,
2023-11-12,,,,
2023-11-13,,,,
2023-11-14,,,,
2023-11-15,,,,
2023-11-16,,,,
2023-11-17,,,,
2023-11-18,,,,
2023-11-19,,,,
2023-11-20,,,,
2023-11-21,,,,
2023-11-22,,,,
2023-11-23,,,,
2023-11-24,,,,
2023-11-25,,,,
2023-11-26,,,,
2023-11-27,,,,
2023-11-28,,,,
2023-11-29,,,,
2023-11-30,,,,
2023-12-01,,,,
2023-12-02,,,,
2023-12-03,,,,
2023-12-04,,,,
2023-12-05,,,,
2023-12-06,,,,
2023-12-07,,,,
2023-12-08,,,,
2023-12-09,,,,
2023-12-10,,,,
2023-12-11,,,,
2023-12-12,,,,
2023-12-13,,,,
2023-12-14,,,,
2023-12-15,,,,
2023-12-16,,,,
2023-12-17,,,,
2023-12-18,,,,
2023-12-19,,,,
